Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01E+12,41652,41264,HPN,"Westchester County, White Plains",USAir  ,Personal Injury,Checked Baggage,Audio/Video; Jewelry & Watches,0,Deny
2.01E+12,41837,41820,MCO,Orlando International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,0,Deny
2.01E+12,41646,41635,SJU,Luis Munoz Marin International,Jet Blue,Property Damage,Checked Baggage,Food & Drink,50,Approve in Full
2.01E+12,41646,41641,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01E+12,41648,41646,SAT,San Antonio International,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,0,Deny
2.01E+12,41652,41623,CHS,Charleston International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01E+12,41653,41357,SJU,Luis Munoz Marin International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Jewelry & Watches,-,-
2.01E+12,41653,41631,LAX,Los Angeles International Airport ,Air Canada,Property Damage,Checkpoint,Computer & Accessories,198.33,Settle
2.01E+12,41662,41637,PVD,"TF Green Airport, Providence",USAir  ,Property Damage,Checked Baggage,Audio/Video,89.99,Settle
2.01E+12,41666,41640,BLI,Bellingham International,Alaska Airlines  ,Property Damage,Checked Baggage,Jewelry & Watches,0,Deny
2.01E+12,41668,41662,LGA,LaGuardia ,USAir  ,Property Damage,Checkpoint,Clothing,210,Settle
2.01E+12,41671,41623,JFK,John F. Kennedy International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01E+12,41674,41653,ONT,Ontario International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01E+12,41664,41663,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny
2.01E+12,41683,41672,BTR,Baton Rouge Metropolitan,UAL  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,45,Approve in Full
2.01E+12,41681,41658,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2.01E+12,41695,41685,BOS,Boston (Logan) International Airport ,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Travel Accessories,40,Approve in Full
2.01E+12,41694,41641,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,93,Approve in Full
2.01E+12,41695,41685,AUS,Austin-Bergstrom International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,0,Deny
2.01E+12,41704,41698,HNL,Honolulu International Airport,Air New Zealand,Passenger Property Loss,Checked Baggage,-,-,-
2.01E+12,41705,41702,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,Other,344,Approve in Full
2.01E+12,41708,40983,CLE,Cleveland Hopkins International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,50,Approve in Full
2.01E+12,41715,41571,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checkpoint,Clothing,-,-
2.01E+12,41717,41659,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,Clothing,280.57,Settle
2.01E+12,41720,41697,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checkpoint,Jewelry & Watches,80,Approve in Full
2.01E+12,41723,41704,OGG,"Kahului-Maui, HI",Air Canada,Passenger Property Loss,Checkpoint,Medical/Science,93.21,Approve in Full
2.01E+12,41730,41580,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checked Baggage,Home Decor,52.98,Approve in Full
2.01E+12,41731,41708,TPA,Tampa International,Air Canada,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01E+12,41739,41733,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,159.2,Approve in Full
2.01E+12,41745,41742,SEA,Seattle-Tacoma International,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,587.11,Settle
2.01E+12,41750,41732,JAX,Jacksonville International,Southeast Airlines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2.01E+12,41750,41714,F,Foreign airport,USAir  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny
2.01E+12,41754,41740,MCO,Orlando International Airport,Virgin Atlantic,Property Damage,Checked Baggage,Baggage/Cases/Purses,85,Approve in Full
2.01E+12,41760,41732,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,208.59,Approve in Full
2.01E+12,41757,41710,LAX,Los Angeles International Airport ,Jet Blue,Property Damage,Checkpoint,Clothing,140.39,Settle
2.01E+12,41750,41523,BOS,Boston (Logan) International Airport ,UAL  ,Property Damage,Checked Baggage,Other,1931.99,Settle
2.01E+12,41771,41747,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2.01E+12,41778,41758,DSM,Des Moines International,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,-,-
2.01E+12,41786,41765,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Household Items,0,Deny
2.01E+12,41780,41638,TPA,Tampa International,UAL  ,Property Damage,Checkpoint,Computer & Accessories,321,Settle
2.01E+12,41789,41695,EWR,Newark International Airport,-,Personal Injury,Checkpoint,-,-,-
2.01E+12,41794,41789,DTW,Detroit Metropolitan Wayne County Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,0,Deny
2.01E+12,41796,41786,JFK,John F. Kennedy International,Turkish Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,175,Settle
2.01E+12,41799,41793,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,265.34,Settle
2.01E+12,41803,41778,BOS,Boston (Logan) International Airport ,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses,170,Settle
2.01E+12,41813,41800,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,-,-
2.01E+12,41814,41812,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny
2.01E+12,41830,41813,RNO,Reno/Tahoe International,USAir  ,Property Damage,Checked Baggage,Household Items; Other; Other,149,Approve in Full
2.01E+12,41821,41817,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.01E+12,41827,41723,DCA,Ronald Reagan Washington National Airport,USAir  ,Property Damage,Checkpoint,Personal Electronics,269,Settle
2.01E+12,41844,41817,TUL,Tulsa International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,0,Deny
2.01E+12,41835,41823,FLL,Ft. Lauderdale-Hollywood International,-,Property Damage,Checkpoint,Baggage/Cases/Purses,63.6,Approve in Full
2.01E+12,41855,41821,TYS,"Mcghee Tyson ,Knoxville",-,Property Damage,Checkpoint,-,60,Approve in Full
2.01E+12,41841,41832,MCO,Orlando International Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01E+12,41852,41849,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,409.79,Approve in Full
2.01E+12,41848,41763,SFO,San Francisco International,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.01E+12,41942,41742,LAS,McCarran International,-,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01E+12,41857,41804,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checked Baggage,Cosmetics & Grooming,48.54,Approve in Full
2.01E+12,41865,41839,JFK,John F. Kennedy International,Virgin Atlantic,Property Damage,Checkpoint,Computer & Accessories,-,-
2.01E+12,41870,41848,MEM,Memphis International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2.01E+12,41869,41837,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,21,Approve in Full
2.01E+12,41871,41848,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
2.01E+12,41870,41867,SEA,Seattle-Tacoma International,All Nippon Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01E+12,41887,41850,DTW,Detroit Metropolitan Wayne County Airport,UAL  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,362.5,Settle
2.01E+12,41890,41877,BDL,Bradley International Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,100,Approve in Full
2.01E+12,41896,41881,PHX,Phoenix Sky Harbor International,American Airlines  ,Property Damage,Checked Baggage,Medical/Science,-,-
2.01E+12,41894,41892,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.01E+12,41904,41897,PHX,Phoenix Sky Harbor International,UAL  ,Personal Injury,Checkpoint,Other,-,-
2.01E+12,41907,41880,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2.01E+12,41911,41875,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing,-,-
2.01E+12,41918,41917,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras,0,Deny
2.01E+12,41920,41915,MIA,Miami International Airport,Aero Flot,Property Damage,Checked Baggage,Other,-,-
2.01E+12,41928,41898,SEA,Seattle-Tacoma International,Frontier Airlines,Passenger Property Loss,Checked Baggage,-,28,Approve in Full
2.01E+12,41919,41866,SIT,Sitka 'Rocky Guitierrez',Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Food & Drink,-,-
2.01E+12,41935,41920,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,-,0,Deny
2.01E+12,41936,41923,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.01E+12,41942,41878,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01E+12,41945,41936,PIE,St. Petersburg-Clearwater International,Sun Country Airlines Inc  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.01E+12,41947,41887,SNA,John Wayne,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Cosmetics & Grooming; Cosmetics & Grooming,-,-
2.01E+12,41953,41935,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0,Deny
2.01E+12,41957,41950,EWR,Newark International Airport,Air Canada,Passenger Property Loss,Checkpoint,Currency,-,-
2.01E+12,41967,41967,SNA,John Wayne,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
2.01E+12,41967,41960,SRQ,Sarasota Bradenton International,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics,-,-
2.01E+12,41959,41953,MYR,Myrtle Beach International,Spirit Airlines,Property Damage,Checkpoint,Personal Accessories,-,-
2.01E+12,41978,41956,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,368.52,Settle
2.01E+12,41975,41972,BUR,Bob Hope ,Southwest Airlines  ,Property Damage,Checked Baggage,-,-,-
2.01E+12,41983,41950,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines  ,Property Damage,Checkpoint,Other,-,-
2.01E+12,41988,41985,SFO,San Francisco International,American Airlines  ,Property Damage,Checked Baggage,Clothing,-,-
2.01E+12,41991,41985,TPA,Tampa International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,-,-
2.01E+12,42002,41986,MIA,Miami International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.02E+12,42004,41854,DCA,Ronald Reagan Washington National Airport,USAir  ,Passenger Property Loss,Checked Baggage,-,-,-
2.01E+12,41673,40943,ZZZ,Unspecified Personal Injury,-,Personal Injury,Other,-,0,Deny
2.01E+12,41747,41386,ACY,Atlantic City International,-,Motor Vehicle,Motor Vehicle,Baggage/Cases/Purses,2233.86,Settle
2.01E+12,41753,41488,ZZX,Non TSA Airport (motor vehicle),-,Personal Injury,Motor Vehicle,-,20000,Settle
2.01E+12,41823,41478,BNA,Nashville International,Southwest Airlines  ,Personal Injury,Checkpoint,Other,-,-
2.01E+12,41694,41419,PHX,Phoenix Sky Harbor International,USAir  ,Personal Injury,Checkpoint,-,-,-
2.01E+12,41652,41269,DCA,Ronald Reagan Washington National Airport,USAir  ,Personal Injury,Checkpoint,Other,0,Deny
2.01E+12,41684,41103,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Personal Injury,Checkpoint,-,-,-
