Claim Number,Date Received,Incident D,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01506E+12,42152,42145,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Property Damage,Checkpoint,Personal Electronics,0,Deny
2.01508E+12,42237,42217,ABE,"Lehigh Valley International Airport, Allentown",-,Property Damage,Checked Baggage,Sporting Equipment & Supplies,180,Settle
2.0151E+12,42284,42279,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Passenger Property Loss,Checked Baggage,Clothing,60,Approve in Full
2.01512E+12,42304,42296,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Property Damage,Checkpoint,Personal Accessories,-,-
2.01501E+12,42026,41996,ABI,Abilene Regional,American Airlines  ,Property Damage,Checked Baggage,Home Decor,0,Deny
2.01508E+12,42221,42199,ABI,Abilene Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,200,Approve in Full
2.01509E+12,42254,42222,ABI,Abilene Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny
2.01501E+12,42013,41967,ABQ,Albuquerque International Sunport Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2.01502E+12,42062,41331,ABQ,Albuquerque International Sunport Airport,American Airlines  ,Passenger Property Loss,Checkpoint,-,0,Deny
2.01504E+12,42100,42006,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Home Decor,136.49,Settle
2.01505E+12,42151,42130,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,0,Deny
2.01506E+12,42153,41993,ABQ,Albuquerque International Sunport Airport,UAL  ,Passenger Property Loss,Checked Baggage,Cameras; Computer & Accessories; Personal Electronics,0,Deny
2.01506E+12,42180,42154,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2.01507E+12,42200,42169,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,121.89,Settle
2.01507E+12,42206,42192,ABQ,Albuquerque International Sunport Airport,USAir  ,Passenger Property Loss,Checked Baggage,-,0,Deny
2.01507E+12,42207,42153,ABQ,Albuquerque International Sunport Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01508E+12,42234,42228,ABQ,Albuquerque International Sunport Airport,Jet Blue,Property Damage,Checked Baggage,Clothing,0,Deny
2.01508E+12,42234,42231,ABQ,Albuquerque International Sunport Airport,Aires Airline,Passenger Property Loss,Checked Baggage,Personal Accessories,0,Deny
2.01508E+12,42235,42231,ABQ,Albuquerque International Sunport Airport,Alaska Airlines  ,-,Checked Baggage,Personal Accessories,-,-
2.01509E+12,42251,42232,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
2.01509E+12,42258,42224,ABQ,Albuquerque International Sunport Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Food & Drink,0,Deny
2.0151E+12,42278,42216,ABQ,Albuquerque International Sunport Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01511E+12,42303,42289,ABQ,Albuquerque International Sunport Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.0151E+12,42306,42282,ABQ,Albuquerque International Sunport Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.01511E+12,42311,42289,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2.01512E+12,42345,42287,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2.01508E+12,42205,42144,ABR,Aberdeen Regional Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2.01511E+12,42296,42284,ABR,Aberdeen Regional Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Currency; Jewelry & Watches,-,-
2.01512E+12,42320,42317,ABR,Aberdeen Regional Airport,-,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01512E+12,42356,42333,ABR,Aberdeen Regional Airport,Delta Air Lines  ,Complaint,Checkpoint,-,-,-
2.01503E+12,42083,42069,ACK,Nantucket Memorial Airport,Cape Air  ,Passenger Property Loss,Checked Baggage,Clothing; Clothing; Clothing; Clothing,0,Deny
2.01511E+12,42304,42302,ACT,Waco Regional Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2.01507E+12,42200,42155,ACV,Arcata-Eureka,UAL  ,Passenger Property Loss,Checked Baggage,Currency; Currency; Other,0,Deny
2.01502E+12,42038,42027,ACY,Atlantic City International,Spirit Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,47.5,Approve in Full
2.01504E+12,42123,42101,ACY,Atlantic City International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Other,38,Approve in Full
2.01505E+12,42132,42117,ACY,Atlantic City International,Spirit Airlines,Property Damage,Checkpoint,Clothing,30,Approve in Full
2.01507E+12,42185,42173,ACY,Atlantic City International,Republic Airways,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0,Deny
2.01508E+12,42222,42198,ACY,Atlantic City International,-,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.0151E+12,42279,42242,ACY,Atlantic City International,Spirit Airlines,Property Damage,Checked Baggage,Computer & Accessories,31.92,Settle
2.0151E+12,42263,42229,ADK,Adak Mitchell Field Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Outdoor Items,0,Deny
2.01501E+12,42034,41961,ADQ,Kodiak State Airport,Alaska Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,65.01,Approve in Full
2.01503E+12,42089,42046,ADQ,Kodiak State Airport,Alaska Airlines  ,Property Damage,Checked Baggage,-,0,Deny
2.01507E+12,42186,42154,AGS,Bush Field,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2.01507E+12,42205,42189,AGS,Bush Field,-,Property Damage,Checked Baggage,Cosmetics & Grooming,0,Deny
2.01512E+12,42348,42339,AGS,Bush Field,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,25,Approve in Full
2.01501E+12,42016,41929,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,10.86,Approve in Full
2.01502E+12,42039,42009,ALB,Albany International,USAir  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny
2.01502E+12,42044,42038,ALB,Albany International,UAL  ,Property Damage,Checked Baggage,Other,247.5,Settle
2.01502E+12,42048,42009,ALB,Albany International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,100,Approve in Full
2.01502E+12,42053,42021,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,240.71,Approve in Full
2.01503E+12,42074,42063,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny
2.01503E+12,42080,42054,ALB,Albany International,Southwest Airlines  ,Property Damage,Checked Baggage,Personal Accessories,0,Deny
2.01504E+12,42108,41927,ALB,Albany International,USAir  ,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,82,Approve in Full
2.01504E+12,42121,42102,ALB,Albany International,USAir  ,Property Damage,Checkpoint,Personal Accessories,192.78,Settle
2.01505E+12,42122,42112,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,19,Approve in Full
2.01505E+12,42132,42110,ALB,Albany International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,40,Approve in Full
2.01505E+12,42132,42048,ALB,Albany International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,57.95,Approve in Full
2.01505E+12,42145,42079,ALB,Albany International,Southwest Airlines  ,Property Damage,Checkpoint,Clothing,46,Approve in Full
2.01505E+12,42146,41886,ALB,Albany International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01506E+12,42170,42123,ALB,Albany International,USAir  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,-
2.01506E+12,42170,42123,ALB,Albany International,USAir  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,0,Deny
2.01508E+12,42235,42235,ALB,Albany International,Southwest Airlines  ,Property Damage,Checked Baggage,Travel Accessories,47.09,Approve in Full
2.01508E+12,42242,42221,ALB,Albany International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing; Jewelry & Watches; Jewelry & Watches; Personal Electronics,0,Deny
2.01509E+12,42249,42240,ALB,Albany International,Delta Air Lines  ,Property Damage,Checkpoint,Clothing,310.3,Settle
2.01509E+12,42251,42222,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Clothing,0,Deny
2.01509E+12,42251,42218,ALB,Albany International,USAir  ,Property Damage,Checked Baggage,Computer & Accessories,0,Deny
2.01511E+12,42311,42297,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Food & Drink,0,Deny
2.01512E+12,42324,42278,ALB,Albany International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01512E+12,42327,42299,ALB,Albany International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,-,-
2.01512E+12,42358,42258,ALB,Albany International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01512E+12,42348,42331,ALO,Waterloo Municipal Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2.01601E+12,42359,42355,ALO,Waterloo Municipal Airport,China Eastern Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.01502E+12,42037,41984,ALW,Walla Walla Regional Airport,Horizon Air,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Cosmetics & Grooming; Other; Other,0,Deny
2.01508E+12,42219,42203,ALW,Walla Walla Regional Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Cosmetics & Grooming,0,Deny
2.0151E+12,42285,42281,ALW,Walla Walla Regional Airport,Alaska Airlines  ,Property Damage,Checked Baggage,Food & Drink,45.74,Approve in Full
2.01505E+12,42136,42130,AMA,Rick Husband Amarillo International Airport,American Airlines  ,Property Damage,Checkpoint,Clothing,21.64,Approve in Full
2.0151E+12,42271,42269,AMA,Rick Husband Amarillo International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01501E+12,42012,41986,ANC,Ted Stevens Anchorage International Airport,USAir  ,Property Damage,Checked Baggage,Toys & Games,0,Deny
2.01502E+12,42044,42030,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Travel Accessories,0,Deny
2.01502E+12,42052,42009,ANC,Ted Stevens Anchorage International Airport,USAir  ,Property Damage,Checked Baggage,Toys & Games,48.75,Approve in Full
2.01503E+12,42080,42056,ANC,Ted Stevens Anchorage International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming,0,Deny
2.01504E+12,42116,42113,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Property Damage,Checkpoint,Personal Electronics,0,Deny
2.01505E+12,42144,42133,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Property Damage,Checked Baggage,Home Decor,136.94,Settle
2.01505E+12,42150,42142,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny
2.01506E+12,42153,42132,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Property Damage,Checked Baggage,Other,100,Approve in Full
2.01506E+12,42165,42156,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Clothing; Food & Drink; Other,100,Approve in Full
2.01507E+12,42180,42113,ANC,Ted Stevens Anchorage International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Personal Electronics,174.5,Settle
2.01507E+12,42180,42169,ANC,Ted Stevens Anchorage International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,0,Deny
2.01507E+12,42192,42183,ANC,Ted Stevens Anchorage International Airport,UAL  ,Property Damage,Checked Baggage,Personal Electronics,0,Deny
2.01507E+12,42207,42200,ANC,Ted Stevens Anchorage International Airport,Air Canada,Passenger Property Loss,Checkpoint,Clothing,44.09,Settle
2.01507E+12,42209,42199,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Home Decor; Jewelry & Watches; Other; Other,0,Deny
2.01508E+12,42223,42207,ANC,Ted Stevens Anchorage International Airport,Jet Blue,Property Damage,Checked Baggage,Hunting & Fishing Items,0,Deny
2.01508E+12,42227,42200,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0,Deny
2.01508E+12,42229,42214,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny
2.01508E+12,42235,42217,ANC,Ted Stevens Anchorage International Airport,American Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,-,-
2.01508E+12,42240,42230,ANC,Ted Stevens Anchorage International Airport,-,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,-
2.01508E+12,42240,42228,ANC,Ted Stevens Anchorage International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Food & Drink,-,-
2.01509E+12,42258,42234,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Personal Electronics,149,Approve in Full
2.01509E+12,42262,42246,ANC,Ted Stevens Anchorage International Airport,UAL  ,Property Damage,Checked Baggage,Travel Accessories,-,-
2.0151E+12,42278,42259,ANC,Ted Stevens Anchorage International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.0151E+12,42279,42226,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Personal Accessories,-,-
2.0151E+12,42284,42236,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.0151E+12,42285,42274,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2.01511E+12,42303,42289,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
2.01511E+12,42303,42263,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checkpoint,Clothing,-,-
2.01512E+12,42333,42323,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2.01512E+12,42353,42340,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2.01601E+12,42359,42308,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,-
2.01511E+12,42290,42287,APN,Alpena County Regional Airport,-,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Currency,0,Deny
2.01501E+12,42011,42003,ASE,Aspen Pitkin County Sardy Field,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2.01501E+12,42016,42012,ASE,Aspen Pitkin County Sardy Field,American Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,445,Settle
2.01505E+12,42123,42123,ASE,Aspen Pitkin County Sardy Field,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Baggage/Cases/Purses,0,Deny
2.01506E+12,42178,42009,ASE,Aspen Pitkin County Sardy Field,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny
2.01508E+12,42227,42204,ASE,Aspen Pitkin County Sardy Field,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2.01501E+12,42006,41989,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,0,Deny
2.01501E+12,42009,42001,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,-,Checked Baggage,Clothing; Other; Other,-,-
2.01501E+12,42011,41960,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,266.12,Settle
2.01501E+12,42011,42005,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,0,Deny
2.01501E+12,42016,42010,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines  ,Complaint,Checked Baggage,Clothing,-,-
2.01501E+12,42017,42008,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,10.95,Approve in Full
2.01501E+12,42017,41999,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Jewelry & Watches,0,Deny
2.01501E+12,42017,41971,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,95.18,Approve in Full
2.01501E+12,42018,42012,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01501E+12,42018,42003,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,44.99,Approve in Full
2.01501E+12,42019,41999,ATL,Hartsfield-Jackson Atlanta International Airport,-,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01501E+12,42020,42001,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,138.99,Approve in Full
2.01501E+12,42020,42008,ATL,Hartsfield-Jackson Atlanta International Airport,USAir  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,-,-
2.01501E+12,42024,41991,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Other,0,Deny
2.01501E+12,42024,42020,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01501E+12,42024,42003,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01501E+12,42024,42011,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Food & Drink; Toys & Games,-,-
2.01501E+12,42026,42006,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny
2.01501E+12,42026,42003,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,-,18,Approve in Full
2.01501E+12,42026,41748,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Medical/Science,0,Deny
2.01501E+12,42026,42024,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,0,Deny
2.01501E+12,42027,41926,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,0,Deny
2.01501E+12,42027,41991,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,-,7.54,Approve in Full
